Departamento,Municipio,Codigo DANE,TipoHdr,Año,production
Antioquia,Puerto Nare,5585,GAS,2012,NA
Antioquia,Puerto Nare,5585,GAS,2013,NA
Antioquia,Puerto Nare,5585,GAS,2014,5591
Antioquia,Puerto Nare,5585,GAS,2015,23727
Antioquia,Puerto Nare,5585,GAS,2016,6063
Antioquia,Puerto Nare,5585,GAS,2017,38718.14
Antioquia,Puerto Nare,5585,GAS,2018,41106.28999999999
Antioquia,Puerto Nare,5585,GAS,2019,31595.02
Antioquia,Puerto Nare,5585,CRUDO,2012,639188
Antioquia,Puerto Nare,5585,CRUDO,2013,965012
Antioquia,Puerto Nare,5585,CRUDO,2014,978792
Antioquia,Puerto Nare,5585,CRUDO,2015,889797
Antioquia,Puerto Nare,5585,CRUDO,2016,872733
Antioquia,Puerto Nare,5585,CRUDO,2017,770904.7000000003
Antioquia,Puerto Nare,5585,CRUDO,2018,934445.51
Antioquia,Puerto Nare,5585,CRUDO,2019,844336.2299999999
Antioquia,Puerto Triunfo,5591,GAS,2012,NA
Antioquia,Puerto Triunfo,5591,GAS,2013,NA
Antioquia,Puerto Triunfo,5591,GAS,2014,NA
Antioquia,Puerto Triunfo,5591,GAS,2015,NA
Antioquia,Puerto Triunfo,5591,GAS,2016,4170
Antioquia,Puerto Triunfo,5591,GAS,2017,43419.060000000005
Antioquia,Puerto Triunfo,5591,GAS,2018,37171.85
Antioquia,Puerto Triunfo,5591,GAS,2019,22919.73
Antioquia,Puerto Triunfo,5591,CRUDO,2012,235047
Antioquia,Puerto Triunfo,5591,CRUDO,2013,237768
Antioquia,Puerto Triunfo,5591,CRUDO,2014,224976
Antioquia,Puerto Triunfo,5591,CRUDO,2015,218338
Antioquia,Puerto Triunfo,5591,CRUDO,2016,174549
Antioquia,Puerto Triunfo,5591,CRUDO,2017,152627.83
Antioquia,Puerto Triunfo,5591,CRUDO,2018,160955.86
Antioquia,Puerto Triunfo,5591,CRUDO,2019,167547.29
Antioquia,Yondó,5893,GAS,2012,594106
Antioquia,Yondó,5893,GAS,2013,394826
Antioquia,Yondó,5893,GAS,2014,451634
Antioquia,Yondó,5893,GAS,2015,317475
Antioquia,Yondó,5893,GAS,2016,165012
Antioquia,Yondó,5893,GAS,2017,288196.69
Antioquia,Yondó,5893,GAS,2018,216372.50999999998
Antioquia,Yondó,5893,GAS,2019,112357.3
Antioquia,Yondó,5893,CRUDO,2012,8462089
Antioquia,Yondó,5893,CRUDO,2013,8313654
Antioquia,Yondó,5893,CRUDO,2014,8038984
Antioquia,Yondó,5893,CRUDO,2015,7986274
Antioquia,Yondó,5893,CRUDO,2016,6520964
Antioquia,Yondó,5893,CRUDO,2017,5800950.82
Antioquia,Yondó,5893,CRUDO,2018,5059199.319999998
Antioquia,Yondó,5893,CRUDO,2019,4810691.130000001
Arauca,Arauca,81000,GAS,2012,NA
Arauca,Arauca,81000,GAS,2013,NA
Arauca,Arauca,81000,GAS,2014,NA
Arauca,Arauca,81000,GAS,2015,658663
Arauca,Arauca,81000,GAS,2016,506183
Arauca,Arauca,81000,GAS,2017,328868.21
Arauca,Arauca,81000,GAS,2018,429621.2
Arauca,Arauca,81000,GAS,2019,508612.2600000001
Arauca,Arauca,81000,CRUDO,2012,14664610
Arauca,Arauca,81000,CRUDO,2013,12643533
Arauca,Arauca,81000,CRUDO,2014,10741471
Arauca,Arauca,81000,CRUDO,2015,12889772
Arauca,Arauca,81000,CRUDO,2016,11817697
Arauca,Arauca,81000,CRUDO,2017,10591653.06
Arauca,Arauca,81000,CRUDO,2018,10917205.449999994
Arauca,Arauca,81000,CRUDO,2019,10470598.249999998
Arauca,Arauquita,81065,GAS,2012,NA
Arauca,Arauquita,81065,GAS,2013,NA
Arauca,Arauquita,81065,GAS,2014,188877
Arauca,Arauquita,81065,GAS,2015,522545
Arauca,Arauquita,81065,GAS,2016,183503
Arauca,Arauquita,81065,GAS,2017,50169.69000000002
Arauca,Arauquita,81065,GAS,2018,34824.080000000016
Arauca,Arauquita,81065,GAS,2019,209673.91999999998
Arauca,Arauquita,81065,CRUDO,2012,8260919
Arauca,Arauquita,81065,CRUDO,2013,8581759
Arauca,Arauquita,81065,CRUDO,2014,6963495
Arauca,Arauquita,81065,CRUDO,2015,5987756
Arauca,Arauquita,81065,CRUDO,2016,4994172
Arauca,Arauquita,81065,CRUDO,2017,4938349.789999999
Arauca,Arauquita,81065,CRUDO,2018,5281647.520000001
Arauca,Arauquita,81065,CRUDO,2019,7392206.749999999
Arauca,Saravena,81736,GAS,2012,NA
Arauca,Saravena,81736,GAS,2013,NA
Arauca,Saravena,81736,GAS,2014,NA
Arauca,Saravena,81736,GAS,2015,NA
Arauca,Saravena,81736,GAS,2016,NA
Arauca,Saravena,81736,GAS,2017,NA
Arauca,Saravena,81736,GAS,2018,NA
Arauca,Saravena,81736,GAS,2019,NA
Arauca,Saravena,81736,CRUDO,2012,91780
Arauca,Saravena,81736,CRUDO,2013,56893
Arauca,Saravena,81736,CRUDO,2014,67079
Arauca,Saravena,81736,CRUDO,2015,67644
Arauca,Saravena,81736,CRUDO,2016,12009
Arauca,Saravena,81736,CRUDO,2017,389.34000000000003
Arauca,Saravena,81736,CRUDO,2018,4883.78
Arauca,Saravena,81736,CRUDO,2019,NA
Arauca,Tame,81794,GAS,2012,NA
Arauca,Tame,81794,GAS,2013,NA
Arauca,Tame,81794,GAS,2014,NA
Arauca,Tame,81794,GAS,2015,NA
Arauca,Tame,81794,GAS,2016,NA
Arauca,Tame,81794,GAS,2017,49338.89
Arauca,Tame,81794,GAS,2018,362777.52999999997
Arauca,Tame,81794,GAS,2019,742846.4
Arauca,Tame,81794,CRUDO,2012,NA
Arauca,Tame,81794,CRUDO,2013,NA
Arauca,Tame,81794,CRUDO,2014,NA
Arauca,Tame,81794,CRUDO,2015,NA
Arauca,Tame,81794,CRUDO,2016,NA
Arauca,Tame,81794,CRUDO,2017,55176
Arauca,Tame,81794,CRUDO,2018,389802.53
Arauca,Tame,81794,CRUDO,2019,1774783.8499999999
Atlántico,Ponedera,8560,GAS,2012,NA
Atlántico,Ponedera,8560,GAS,2013,NA
Atlántico,Ponedera,8560,GAS,2014,NA
Atlántico,Ponedera,8560,GAS,2015,NA
Atlántico,Ponedera,8560,GAS,2016,NA
Atlántico,Ponedera,8560,GAS,2017,NA
Atlántico,Ponedera,8560,GAS,2018,NA
Atlántico,Ponedera,8560,GAS,2019,NA
Atlántico,Ponedera,8560,CRUDO,2012,NA
Atlántico,Ponedera,8560,CRUDO,2013,NA
Atlántico,Ponedera,8560,CRUDO,2014,NA
Atlántico,Ponedera,8560,CRUDO,2015,NA
Atlántico,Ponedera,8560,CRUDO,2016,NA
Atlántico,Ponedera,8560,CRUDO,2017,NA
Atlántico,Ponedera,8560,CRUDO,2018,NA
Atlántico,Ponedera,8560,CRUDO,2019,NA
Atlántico,Sabanalarga,8638,GAS,2012,NA
Atlántico,Sabanalarga,8638,GAS,2013,NA
Atlántico,Sabanalarga,8638,GAS,2014,NA
Atlántico,Sabanalarga,8638,GAS,2015,135839
Atlántico,Sabanalarga,8638,GAS,2016,682129
Atlántico,Sabanalarga,8638,GAS,2017,1138034.7399999998
Atlántico,Sabanalarga,8638,GAS,2018,3121660.55
Atlántico,Sabanalarga,8638,GAS,2019,6206027.19
Atlántico,Sabanalarga,8638,CRUDO,2012,NA
Atlántico,Sabanalarga,8638,CRUDO,2013,NA
Atlántico,Sabanalarga,8638,CRUDO,2014,NA
Atlántico,Sabanalarga,8638,CRUDO,2015,3236
Atlántico,Sabanalarga,8638,CRUDO,2016,12024
Atlántico,Sabanalarga,8638,CRUDO,2017,26559.76
Atlántico,Sabanalarga,8638,CRUDO,2018,81167.48999999999
Atlántico,Sabanalarga,8638,CRUDO,2019,168023.27000000002
Bolívar,Cantagallo,13160,GAS,2012,1039051
Bolívar,Cantagallo,13160,GAS,2013,1331956
Bolívar,Cantagallo,13160,GAS,2014,985340
Bolívar,Cantagallo,13160,GAS,2015,915821
Bolívar,Cantagallo,13160,GAS,2016,948422
Bolívar,Cantagallo,13160,GAS,2017,754985.8500000002
Bolívar,Cantagallo,13160,GAS,2018,641439.78
Bolívar,Cantagallo,13160,GAS,2019,739454.05
Bolívar,Cantagallo,13160,CRUDO,2012,3599454
Bolívar,Cantagallo,13160,CRUDO,2013,3686867
Bolívar,Cantagallo,13160,CRUDO,2014,4057891
