codmpio,departamento,municipio,year,IICA,IICA_cat
5001,ANTIOQUIA,MEDELLÍN,2013,0.008260538,2
5002,ANTIOQUIA,ABEJORRAL,2013,0.005498579,1
5004,ANTIOQUIA,ABRIAQUÍ,2013,3.26638e-4,1
5021,ANTIOQUIA,ALEJANDRÍA,2013,0.005062444,1
5030,ANTIOQUIA,AMAGÁ,2013,0.016014546,2
5031,ANTIOQUIA,AMALFI,2013,0.046028167,4
5034,ANTIOQUIA,ANDES,2013,0.012716858,2
5036,ANTIOQUIA,ANGELÓPOLIS,2013,0.01608843,2
5038,ANTIOQUIA,ANGOSTURA,2013,0.011912283,2
5040,ANTIOQUIA,ANORÍ,2013,0.09048216,5
5042,ANTIOQUIA,SANTA FÉ DE ANTIOQUIA,2013,0.01161668,2
5044,ANTIOQUIA,ANZÁ,2013,0.009820082,2
5045,ANTIOQUIA,APARTADÓ,2013,0.010348319,2
5051,ANTIOQUIA,ARBOLETES,2013,0.003710016,1
5055,ANTIOQUIA,ARGELIA,2013,0.00603953,1
5059,ANTIOQUIA,ARMENIA,2013,0.018950615,2
5079,ANTIOQUIA,BARBOSA,2013,0.016638661,2
5086,ANTIOQUIA,BELMIRA,2013,0.019333893,3
5088,ANTIOQUIA,BELLO,2013,0.003989235,1
5091,ANTIOQUIA,BETANIA,2013,0.002944132,1
5093,ANTIOQUIA,BETULIA,2013,0.009569949,2
5101,ANTIOQUIA,CIUDAD BOLÍVAR,2013,0.015500008,2
5107,ANTIOQUIA,BRICEÑO,2013,0.179685563,5
5113,ANTIOQUIA,BURITICÁ,2013,0.025385844,3
5120,ANTIOQUIA,CÁCERES,2013,0.03642983,4
5125,ANTIOQUIA,CAICEDO,2013,0.006237553,1
5129,ANTIOQUIA,CALDAS,2013,0.008411112,2
5134,ANTIOQUIA,CAMPAMENTO,2013,0.045029439,4
5138,ANTIOQUIA,CAÑASGORDAS,2013,0.004906762,1
5142,ANTIOQUIA,CARACOLÍ,2013,0.004443323,1
5145,ANTIOQUIA,CARAMANTA,2013,0.009903466,2
5147,ANTIOQUIA,CAREPA,2013,0.007951527,2
5148,ANTIOQUIA,EL CARMEN DE VIBORAL,2013,0.007550437,2
5150,ANTIOQUIA,CAROLINA,2013,0.009790653,2
5154,ANTIOQUIA,CAUCASIA,2013,0.01221649,2
5172,ANTIOQUIA,CHIGORODÓ,2013,0.008769866,2
5190,ANTIOQUIA,CISNEROS,2013,0.012075712,2
5197,ANTIOQUIA,COCORNÁ,2013,0.007443055,2
5206,ANTIOQUIA,CONCEPCIÓN,2013,0.004712474,1
5209,ANTIOQUIA,CONCORDIA,2013,0.00819137,2
5212,ANTIOQUIA,COPACABANA,2013,0.006817295,2
5234,ANTIOQUIA,DABEIBA,2013,0.021065371,3
5237,ANTIOQUIA,DONMATÍAS,2013,0.004493458,1
5240,ANTIOQUIA,EBÉJICO,2013,0.004905415,1
5250,ANTIOQUIA,EL BAGRE,2013,0.038075183,4
5264,ANTIOQUIA,ENTRERRÍOS,2013,0.002163517,1
5266,ANTIOQUIA,ENVIGADO,2013,0.002512502,1
5282,ANTIOQUIA,FREDONIA,2013,0.011699459,2
5284,ANTIOQUIA,FRONTINO,2013,0.008985166,2
5306,ANTIOQUIA,GIRALDO,2013,0.014616407,2
5308,ANTIOQUIA,GIRARDOTA,2013,0.011950222,2
5310,ANTIOQUIA,GÓMEZ PLATA,2013,0.007561392,2
5313,ANTIOQUIA,GRANADA,2013,0.002147743,1
5315,ANTIOQUIA,GUADALUPE,2013,0.031425588,3
5318,ANTIOQUIA,GUARNE,2013,0.004957711,1
5321,ANTIOQUIA,GUATAPÉ,2013,0.003421857,1
5347,ANTIOQUIA,HELICONIA,2013,0.006452339,1
5353,ANTIOQUIA,HISPANIA,2013,0.014844537,2
5360,ANTIOQUIA,ITAGÜÍ,2013,0.006196346,1
5361,ANTIOQUIA,ITUANGO,2013,0.080634244,5
5364,ANTIOQUIA,JARDÍN,2013,0.005486264,1
5368,ANTIOQUIA,JERICÓ,2013,1.98313e-5,1
5376,ANTIOQUIA,LA CEJA,2013,0.003106264,1
5380,ANTIOQUIA,LA ESTRELLA,2013,0.011875979,2
5390,ANTIOQUIA,LA PINTADA,2013,0.005465741,1
5400,ANTIOQUIA,LA UNIÓN,2013,0.0097708,2
5411,ANTIOQUIA,LIBORINA,2013,0.002399355,1
5425,ANTIOQUIA,MACEO,2013,0.013836442,2
5440,ANTIOQUIA,MARINILLA,2013,0.004508449,1
5467,ANTIOQUIA,MONTEBELLO,2013,0.009564052,2
5475,ANTIOQUIA,MURINDÓ,2013,0.015922185,2
5480,ANTIOQUIA,MUTATÁ,2013,0.020241719,3
5483,ANTIOQUIA,NARIÑO,2013,0.006620163,2
5490,ANTIOQUIA,NECOCLÍ,2013,0.003149691,1
5495,ANTIOQUIA,NECHÍ,2013,0.007856011,2
5501,ANTIOQUIA,OLAYA,2013,0.040157519,4
5541,ANTIOQUIA,PEÑOL,2013,0.004664292,1
5543,ANTIOQUIA,PEQUE,2013,0.010668156,2
5576,ANTIOQUIA,PUEBLORRICO,2013,0.003373245,1
5579,ANTIOQUIA,PUERTO BERRÍO,2013,0.01410587,2
5585,ANTIOQUIA,PUERTO NARE,2013,0.002669232,1
5591,ANTIOQUIA,PUERTO TRIUNFO,2013,0.007148642,2
5604,ANTIOQUIA,REMEDIOS,2013,0.035126425,4
5607,ANTIOQUIA,RETIRO,2013,0.002946215,1
5615,ANTIOQUIA,RIONEGRO,2013,0.005778643,1
5628,ANTIOQUIA,SABANALARGA,2013,0.021620462,3
5631,ANTIOQUIA,SABANETA,2013,0.003546251,1
5642,ANTIOQUIA,SALGAR,2013,0.00936421,2
5647,ANTIOQUIA,SAN ANDRÉS DE CUERQUÍA,2013,0.066611134,5
5649,ANTIOQUIA,SAN CARLOS,2013,0.004148706,1
5652,ANTIOQUIA,SAN FRANCISCO,2013,0.011921029,2
5656,ANTIOQUIA,SAN JERÓNIMO,2013,0.016787212,2
5658,ANTIOQUIA,SAN JOSÉ DE LA MONTAÑA,2013,0.014538966,2
5659,ANTIOQUIA,SAN JUAN DE URABÁ,2013,0.003344929,1
5660,ANTIOQUIA,SAN LUIS,2013,0.022807403,3
5664,ANTIOQUIA,SAN PEDRO DE LOS MILAGROS,2013,0.011161349,2
5665,ANTIOQUIA,SAN PEDRO DE URABÁ,2013,0.004272795,1
5667,ANTIOQUIA,SAN RAFAEL,2013,0.002080319,1
5670,ANTIOQUIA,SAN ROQUE,2013,0.008462012,2
5674,ANTIOQUIA,SAN VICENTE FERRER,2013,0.00624627,1
5679,ANTIOQUIA,SANTA BÁRBARA,2013,0.001366388,1
5686,ANTIOQUIA,SANTA ROSA DE OSOS,2013,0.005849251,1
5690,ANTIOQUIA,SANTO DOMINGO,2013,0.027547099,3
5697,ANTIOQUIA,EL SANTUARIO,2013,0.005301681,1
5736,ANTIOQUIA,SEGOVIA,2013,0.044816218,4
5756,ANTIOQUIA,SONSÓN,2013,0.003750775,1
5761,ANTIOQUIA,SOPETRÁN,2013,0.012837928,2
5789,ANTIOQUIA,TÁMESIS,2013,0.001548392,1
5790,ANTIOQUIA,TARAZÁ,2013,0.060926825,5
5792,ANTIOQUIA,TARSO,2013,1.91368e-4,1
5809,ANTIOQUIA,TITIRIBÍ,2013,0.007696845,2
5819,ANTIOQUIA,TOLEDO,2013,0.068572067,5
5837,ANTIOQUIA,TURBO,2013,0.011344696,2
5842,ANTIOQUIA,URAMITA,2013,0.006680386,2
5847,ANTIOQUIA,URRAO,2013,0.010068377,2
5854,ANTIOQUIA,VALDIVIA,2013,0.053097524,4
5856,ANTIOQUIA,VALPARAÍSO,2013,0.005749789,1
5858,ANTIOQUIA,VEGACHÍ,2013,0.035043314,4
5861,ANTIOQUIA,VENECIA,2013,0.004512054,1
5873,ANTIOQUIA,VIGÍA DEL FUERTE,2013,0.022989631,3
5885,ANTIOQUIA,YALÍ,2013,0.018127207,2
5887,ANTIOQUIA,YARUMAL,2013,0.018224306,2
5890,ANTIOQUIA,YOLOMBÓ,2013,0.009478375,2
5893,ANTIOQUIA,YONDÓ,2013,0.014538823,2
5895,ANTIOQUIA,ZARAGOZA,2013,0.042436808,4
8001,ATLÁNTICO,BARRANQUILLA,2013,0.004705789,1
8078,ATLÁNTICO,BARANOA,2013,0.00285133,1
8137,ATLÁNTICO,CAMPO DE LA CRUZ,2013,0.002075214,1
8141,ATLÁNTICO,CANDELARIA,2013,0,1
8296,ATLÁNTICO,GALAPA,2013,0.002271194,1
8372,ATLÁNTICO,JUAN DE ACOSTA,2013,0.001054099,1
8421,ATLÁNTICO,LURUACO,2013,0.006348178,1
8433,ATLÁNTICO,MALAMBO,2013,0.004140585,1
8436,ATLÁNTICO,MANATÍ,2013,0.001124197,1
8520,ATLÁNTICO,PALMAR DE VARELA,2013,9.70199e-6,1
8549,ATLÁNTICO,PIOJÓ,2013,0,1
8558,ATLÁNTICO,POLONUEVO,2013,0.00121285,1
8560,ATLÁNTICO,PONEDERA,2013,0.001631515,1
8573,ATLÁNTICO,PUERTO COLOMBIA,2013,0.004001886,1
8606,ATLÁNTICO,REPELÓN,2013,7.06989e-4,1
8634,ATLÁNTICO,SABANAGRANDE,2013,0.004775309,1
8638,ATLÁNTICO,SABANALARGA,2013,0.003621396,1
8675,ATLÁNTICO,SANTA LUCÍA,2013,0,1
8685,ATLÁNTICO,SANTO TOMÁS,2013,6.87874e-4,1
8758,ATLÁNTICO,SOLEDAD,2013,0.003065052,1
8770,ATLÁNTICO,SUAN,2013,0.001925725,1
8832,ATLÁNTICO,TUBARÁ,2013,0.001565549,1
8849,ATLÁNTICO,USIACURÍ,2013,0.001855677,1
11001,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",2013,0.00372493,1
13001,BOLÍVAR,CARTAGENA DE INDIAS,2013,0.004927913,1
13006,BOLÍVAR,ACHÍ,2013,0.007219606,2
13030,BOLÍVAR,ALTOS DEL ROSARIO,2013,0.001661364,1
13042,BOLÍVAR,ARENAL,2013,0.0058458,1
13052,BOLÍVAR,ARJONA,2013,0.004185047,1
13062,BOLÍVAR,ARROYOHONDO,2013,0.001936663,1
13074,BOLÍVAR,BARRANCO DE LOBA,2013,0.004328408,1
13140,BOLÍVAR,CALAMAR,2013,6.41491e-5,1
13160,BOLÍVAR,CANTAGALLO,2013,0.023568679,3
13188,BOLÍVAR,CICUCO,2013,0.003455421,1
13212,BOLÍVAR,CÓRDOBA,2013,2.90864e-4,1
13222,BOLÍVAR,CLEMENCIA,2013,0.001692593,1
13244,BOLÍVAR,EL CARMEN DE BOLÍVAR,2013,0.002483032,1
13248,BOLÍVAR,EL GUAMO,2013,4.69059e-4,1
13268,BOLÍVAR,EL PEÑÓN,2013,0.004163824,1
13300,BOLÍVAR,HATILLO DE LOBA,2013,1.23034e-4,1
13430,BOLÍVAR,MAGANGUÉ,2013,0.001262796,1
13433,BOLÍVAR,MAHATES,2013,0.0014195,1
13440,BOLÍVAR,MARGARITA,2013,3.74939e-4,1
13442,BOLÍVAR,MARÍA LA BAJA,2013,0.005614385,1
13458,BOLÍVAR,MONTECRISTO,2013,0.031458162,3
13468,BOLÍVAR,MOMPÓS,2013,0.001574727,1
13473,BOLÍVAR,MORALES,2013,0.004572775,1
13490,BOLÍVAR,NOROSÍ,2013,0.025855381,3
13549,BOLÍVAR,PINILLOS,2013,0.002585267,1
13580,BOLÍVAR,REGIDOR,2013,7.20943e-4,1
13600,BOLÍVAR,RÍO VIEJO,2013,0.003254352,1
13620,BOLÍVAR,SAN CRISTÓBAL,2013,2.9253e-4,1
13647,BOLÍVAR,SAN ESTANISLAO,2013,0.00111994,1
13650,BOLÍVAR,SAN FERNANDO,2013,1.79197e-5,1
13654,BOLÍVAR,SAN JACINTO,2013,0.003728051,1
13655,BOLÍVAR,SAN JACINTO DEL CAUCA,2013,0.004392174,1
13657,BOLÍVAR,SAN JUAN NEPOMUCENO,2013,0.001754006,1
13667,BOLÍVAR,SAN MARTÍN DE LOBA,2013,0.00181867,1
13670,BOLÍVAR,SAN PABLO,2013,0.018247982,2
13673,BOLÍVAR,SANTA CATALINA,2013,0.006931353,2
13683,BOLÍVAR,SANTA ROSA,2013,0.006472032,1
13688,BOLÍVAR,SANTA ROSA DEL SUR,2013,0.018742902,2
13744,BOLÍVAR,SIMITÍ,2013,0.015396566,2
13760,BOLÍVAR,SOPLAVIENTO,2013,0,1
13780,BOLÍVAR,TALAIGUA NUEVO,2013,2.79999e-4,1
13810,BOLÍVAR,TIQUISIO,2013,0.018513022,2
13836,BOLÍVAR,TURBACO,2013,0.006020451,1
13838,BOLÍVAR,TURBANÁ,2013,0.002682573,1
13873,BOLÍVAR,VILLANUEVA,2013,0.002020291,1
13894,BOLÍVAR,ZAMBRANO,2013,3.60369e-4,1
15001,BOYACÁ,TUNJA,2013,0.001445209,1
15022,BOYACÁ,ALMEIDA,2013,0,1
15047,BOYACÁ,AQUITANIA,2013,0.002525782,1
15051,BOYACÁ,ARCABUCO,2013,0,1
15087,BOYACÁ,BELÉN,2013,0.004499714,1
15090,BOYACÁ,BERBEO,2013,0,1
15092,BOYACÁ,BETÉITIVA,2013,0,1
15097,BOYACÁ,BOAVITA,2013,0,1
15104,BOYACÁ,BOYACÁ,2013,7.93823e-4,1
15106,BOYACÁ,BRICEÑO,2013,0,1
15109,BOYACÁ,BUENAVISTA,2013,0,1
15114,BOYACÁ,BUSBANZÁ,2013,0,1
15131,BOYACÁ,CALDAS,2013,0.004825906,1
15135,BOYACÁ,CAMPOHERMOSO,2013,0.004500864,1
15162,BOYACÁ,CERINZA,2013,0.004503183,1
15172,BOYACÁ,CHINAVITA,2013,0.004813776,1
15176,BOYACÁ,CHIQUINQUIRÁ,2013,8.3532e-4,1
15180,BOYACÁ,CHISCAS,2013,2.6954e-4,1
15183,BOYACÁ,CHITA,2013,5.46088e-4,1
15185,BOYACÁ,CHITARAQUE,2013,0.003093509,1
15187,BOYACÁ,CHIVATÁ,2013,0,1
15189,BOYACÁ,CIÉNEGA,2013,0,1
15204,BOYACÁ,CÓMBITA,2013,0,1
15212,BOYACÁ,COPER,2013,1.92785e-4,1
15215,BOYACÁ,CORRALES,2013,0,1
15218,BOYACÁ,COVARACHÍA,2013,4.11432e-4,1
15223,BOYACÁ,CUBARÁ,2013,0.021098709,3
15224,BOYACÁ,CUCAITA,2013,2.60354e-4,1
15226,BOYACÁ,CUÍTIVA,2013,0,1
15232,BOYACÁ,CHÍQUIZA,2013,0,1
15236,BOYACÁ,CHIVOR,2013,0.001296903,1
15238,BOYACÁ,DUITAMA,2013,0.001398887,1
15244,BOYACÁ,EL COCUY,2013,4.57541e-5,1
15248,BOYACÁ,EL ESPINO,2013,0,1
15272,BOYACÁ,FIRAVITOBA,2013,0,1
15276,BOYACÁ,FLORESTA,2013,0,1
15293,BOYACÁ,GACHANTIVÁ,2013,0,1
15296,BOYACÁ,GÁMEZA,2013,0,1
15299,BOYACÁ,GARAGOA,2013,5.75616e-5,1
15317,BOYACÁ,GUACAMAYAS,2013,0,1
15322,BOYACÁ,GUATEQUE,2013,7.49253e-5,1
15325,BOYACÁ,GUAYATÁ,2013,0.003436509,1
15332,BOYACÁ,GÜICÁN DE LA SIERRA,2013,1.36658e-4,1
15362,BOYACÁ,IZA,2013,6.32304e-4,1
15367,BOYACÁ,JENESANO,2013,0.002265231,1
15368,BOYACÁ,JERICÓ,2013,0.004142947,1
15377,BOYACÁ,LABRANZAGRANDE,2013,0.017950403,2
15380,BOYACÁ,LA CAPILLA,2013,0,1
15401,BOYACÁ,LA VICTORIA,2013,0,1
15403,BOYACÁ,LA UVITA,2013,0.00634165,1
15407,BOYACÁ,VILLA DE LEYVA,2013,0.001112304,1
15425,BOYACÁ,MACANAL,2013,0,1
15442,BOYACÁ,MARIPÍ,2013,1.9271e-4,1
15455,BOYACÁ,MIRAFLORES,2013,4.98175e-5,1
15464,BOYACÁ,MONGUA,2013,0.004402223,1
15466,BOYACÁ,MONGUÍ,2013,0,1
15469,BOYACÁ,MONIQUIRÁ,2013,0,1
15476,BOYACÁ,MOTAVITA,2013,0.002211484,1
15480,BOYACÁ,MUZO,2013,0.002197649,1
15491,BOYACÁ,NOBSA,2013,0,1
15494,BOYACÁ,NUEVO COLÓN,2013,0,1
15500,BOYACÁ,OICATÁ,2013,0,1
15507,BOYACÁ,OTANCHE,2013,0.007397299,2
15511,BOYACÁ,PACHAVITA,2013,0,1
15514,BOYACÁ,PÁEZ,2013,0,1
15516,BOYACÁ,PAIPA,2013,0.001142826,1
15518,BOYACÁ,PAJARITO,2013,0.04305172,4
15522,BOYACÁ,PANQUEBA,2013,0,1
15531,BOYACÁ,PAUNA,2013,0.010879072,2
15533,BOYACÁ,PAYA,2013,0.024405047,3
15537,BOYACÁ,PAZ DE RÍO,2013,0,1
15542,BOYACÁ,PESCA,2013,3.483e-4,1
15550,BOYACÁ,PISBA,2013,0.064895451,5
15572,BOYACÁ,PUERTO BOYACÁ,2013,0.005777349,1
15580,BOYACÁ,QUÍPAMA,2013,0.002978005,1
15599,BOYACÁ,RAMIRIQUÍ,2013,0.003388277,1
15600,BOYACÁ,RÁQUIRA,2013,0.003866998,1
15621,BOYACÁ,RONDÓN,2013,0,1
15632,BOYACÁ,SABOYÁ,2013,0,1
15638,BOYACÁ,SÁCHICA,2013,0.005519326,1
15646,BOYACÁ,SAMACÁ,2013,0.001871714,1
15660,BOYACÁ,SAN EDUARDO,2013,1.29002e-4,1
15664,BOYACÁ,SAN JOSÉ DE PARE,2013,0.006458031,1
15667,BOYACÁ,SAN LUIS DE GACENO,2013,0.013230421,2
15673,BOYACÁ,SAN MATEO,2013,0.008927712,2
15676,BOYACÁ,SAN MIGUEL DE SEMA,2013,0,1
15681,BOYACÁ,SAN PABLO DE BORBUR,2013,0.013419828,2
15686,BOYACÁ,SANTANA,2013,0.006691092,2
15690,BOYACÁ,SANTA MARÍA,2013,1.18349e-4,1
15693,BOYACÁ,SANTA ROSA DE VITERBO,2013,0,1
15696,BOYACÁ,SANTA SOFÍA,2013,0,1
15720,BOYACÁ,SATIVANORTE,2013,9.04132e-4,1
15723,BOYACÁ,SATIVASUR,2013,0,1
15740,BOYACÁ,SIACHOQUE,2013,0.001925294,1
15753,BOYACÁ,SOATÁ,2013,0.002625949,1
